Order,Type,ID,Title,Poster,Year,Runtime,Phase,Director,Genres,Synopsis,isWatched,isSkipped
1,Series,eyes-of-wakanda,Eyes of Wakanda,eyesofwakanda,2025,4 Episodes,Phase Six,Todd Harris,"Action, Adventure, Animation, Superhero","Across centuries of hidden history, Wakandan warriors known as the Hatut Zeraze undertake dangerous missions around the world to recover stolen Vibranium artifacts and protect Wakanda's greatest secret.",FALSE,FALSE
2,Movie,captain-america-the-first-avenger,Captain America: The First Avenger,captainamerica1,2011,2h 4m,Phase One,Joe Johnston,"Action, Adventure, Sci-Fi","During World War II, Steve Rogers transforms from a determined young soldier into Captain America, becoming the world's first Super Soldier as he battles the Red Skull and Hydra to stop a powerful new weapon.",FALSE,FALSE
3,One-Shot,agent-carter-one-shot,Marvel One-Shot: Agent Carter,agentcarteroneshot,2013,15m,Phase Two,Louis D'Esposito,"Action, Adventure, Short","One year after the end of World War II, Peggy Carter takes on a dangerous solo mission that could change the future of the Strategic Scientific Reserve.",FALSE,FALSE
4,Movie,captain-marvel,Captain Marvel,captainmarvel,2019,2h 4m,Phase Three,Anna Boden & Ryan Fleck,"Action, Adventure, Sci-Fi","After an elite Kree warrior crash-lands on Earth, Carol Danvers begins uncovering the truth about her past, leading her to embrace extraordinary powers that will shape the future of the galaxy.",FALSE,FALSE
5,Movie,iron-man,Iron Man,ironman,2008,2h 6m,Phase One,Jon Favreau,"Action, Adventure, Sci-Fi","After being captured while demonstrating his latest weapons, billionaire inventor Tony Stark builds a powerful suit of armor to escape and begins a journey that will redefine his purpose as Iron Man.",FALSE,FALSE
6,Movie,iron-man-2,Iron Man 2,ironman2,2010,2h 4m,Phase One,Jon Favreau,"Action, Adventure, Sci-Fi","As Tony Stark faces mounting pressure from the government and powerful new enemies, he must confront the consequences of revealing his identity while searching for a way to secure the future of Iron Man.",FALSE,FALSE
7,Movie,the-incredible-hulk,The Incredible Hulk,hulk2008,2008,1h 52m,Phase One,Louis Leterrier,"Action, Adventure, Sci-Fi","While searching for a cure to the gamma radiation that transformed him into the Hulk, Bruce Banner must stay one step ahead of the military as a powerful new threat emerges.",FALSE,FALSE
8,One-Shot,a-funny-thing-happened-on-the-way-to-thors-hammer,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,thorshammeroneshot,2011,3m,Phase One,Leythum,"Action, Adventure, Short","On his way to New Mexico, S.H.I.E.L.D. agent Phil Coulson makes an unexpected stop at a remote gas station, where a routine errand quickly turns into a dangerous encounter.",FALSE,FALSE
9,Movie,thor,Thor,thor1,2011,1h 55m,Phase One,Kenneth Branagh,"Action, Adventure, Fantasy","After his arrogance reignites an ancient conflict, the mighty Thor is stripped of his powers and exiled to Earth, where he must learn what it truly means to be worthy before a dangerous threat reaches both worlds.",FALSE,FALSE
10,One-Shot,the-consultant,Marvel One-Shot: The Consultant,theconsultant,2011,4m,Phase One,Leythum,"Action, Adventure, Short",Agents Phil Coulson and Jasper Sitwell devise an unconventional plan to keep a dangerous individual away from the Avengers Initiative.,FALSE,FALSE
